POS1_0	POS1_266	POS2_0	POS2_266	POS3_0	POS3_266	POS4_0	POS4_266	POS5_0	POS5_266	POS6_0	POS6_266	POS7_0	POS7_266
-0.25	265.72	2.64	272.01	4.22	275.49	2.35	271.4	-1.63	262.7	3.91	274.78	4.14	275.34
-0.27	265.7	2.64	271.98	4.21	275.44	2.37	271.35	-1.64	262.71	3.89	274.77	4.13	275.34
-0.29	265.73	2.62	272.02	4.23	275.47	2.36	271.41	-1.66	262.76	3.9	274.77	4.13	275.36
-0.29	265.72	2.64	272.05	4.19	275.43	2.35	271.43	-1.62	262.67	3.9	274.78	4.14	275.27
-0.29	265.74	2.62	272.04	4.22	275.45	2.32	271.42	-1.65	262.74	3.92	274.8	4.12	275.34
-0.29	265.73	2.63	271.98	4.22	275.47	2.33	271.43	-1.64	262.65	3.91	274.77	4.15	275.31
-0.28	265.75	2.63	272.02	4.19	275.47	2.34	271.39	-1.67	262.74	3.92	274.82	4.15	275.31
-0.29	265.72	2.63	272.03	4.22	275.47	2.33	271.4	-1.63	262.71	3.89	274.77	4.13	275.31
-0.28	265.71	2.63	272.07	4.2	275.47	2.36	271.42	-1.64	262.71	3.9	274.8	4.15	275.36
-0.26	265.73	2.62	272.01	4.21	275.46	2.35	271.42	-1.65	262.65	3.91	274.81	4.15	275.37
-0.26	265.7	2.62	272.02	4.21	275.45	2.35	271.4	-1.66	262.73	3.89	274.79	4.15	275.31
-0.26	265.76	2.63	272.04	4.23	275.47	2.34	271.4	-1.66	262.73	3.91	274.75	4.12	275.28
-0.29	265.7	2.63	272.05	4.21	275.45	2.37	271.42	-1.64	262.73	3.87	274.76	4.16	275.34
-0.3	265.68	2.63	272.02	4.19	275.46	2.35	271.4	-1.66	262.71	3.91	274.79	4.12	275.33
-0.26	265.68	2.63	272.06	4.2	275.47	2.36	271.39	-1.65	262.68	3.91	274.76	4.16	275.33
-0.29	265.69	2.64	272.02	4.2	275.46	2.34	271.4	-1.61	262.76	3.9	274.78	4.17	275.31
-0.29	265.71	2.62	272.04	4.19	275.45	2.36	271.4	-1.64	262.7	3.9	274.81	4.15	275.29
-0.29	265.75	2.62	272.01	4.21	275.48	2.36	271.39	-1.66	262.72	3.92	274.77	4.13	275.33
-0.29	265.75	2.63	272	4.2	275.44	2.34	271.42	-1.67	262.73	3.92	274.79	4.12	275.33
-0.31	265.73	2.61	272.01	4.24	275.47	2.37	271.39	-1.66	262.72	3.89	274.77	4.15	275.32
-0.29	265.72	2.63	272.04	4.24	275.51	2.38	271.43	-1.64	262.72	3.9	274.74	4.15	275.35
-0.26	265.73	2.62	271.99	4.22	275.46	2.33	271.35	-1.66	262.69	3.92	274.79	4.13	275.35
-0.3	265.74	2.61	272	4.19	275.48	2.34	271.4	-1.65	262.73	3.93	274.75	4.14	275.3
-0.27	265.73	2.64	272.04	4.21	275.47	2.35	271.45	-1.63	262.71	3.9	274.79	4.12	275.31
-0.28	265.73	2.64	272.07	4.22	275.47	2.34	271.38	-1.66	262.65	3.94	274.78	4.16	275.36
-0.29	265.73	2.63	272.01	4.22	275.44	2.34	271.45	-1.65	262.67	3.92	274.8	4.18	275.33
-0.26	265.7	2.62	271.99	4.21	275.42	2.36	271.44	-1.65	262.71	3.89	274.78	4.14	275.36
-0.27	265.7	2.62	272.03	4.18	275.48	2.34	271.4	-1.68	262.69	3.88	274.76	4.14	275.31
-0.28	265.74	2.62	272.02	4.22	275.45	2.35	271.38	-1.64	262.69	3.9	274.76	4.14	275.34
-0.29	265.69	2.63	272.01	4.21	275.44	2.35	271.41	-1.65	262.75	3.91	274.78	4.17	275.36
-0.29	265.69	2.62	272.06	4.23	275.44	2.34	271.43	-1.66	262.7	3.93	274.78	4.17	275.35
-0.27	265.73	2.65	272.01	4.21	275.47	2.36	271.39	-1.66	262.7	3.91	274.75	4.12	275.33
-0.29	265.72	2.63	272	4.22	275.5	2.34	271.35	-1.65	262.71	3.88	274.8	4.16	275.38
-0.27	265.72	2.61	271.99	4.21	275.48	2.37	271.45	-1.65	262.72	3.92	274.81	4.15	275.34
-0.26	265.76	2.64	272.03	4.2	275.44	2.33	271.4	-1.64	262.72	3.91	274.77	4.13	275.36
-0.29	265.7	2.62	272.03	4.19	275.51	2.38	271.38	-1.65	262.76	3.89	274.74	4.13	275.26
-0.28	265.8	2.61	272.08	4.21	275.43	2.36	271.39	-1.66	262.76	3.88	274.79	4.15	275.28
-0.28	265.73	2.6	272.04	4.19	275.42	2.35	271.4		262.74	3.89	274.79	4.13	275.35
-0.29	265.73	2.63	272.09	4.21	275.43	2.34	271.46		262.68	3.92	274.81	4.15	275.31
-0.26	265.77	2.61	272.06	4.19	275.45	2.34	271.41		262.68	3.88	274.78	4.15	275.29
-0.29	265.8	2.65	272	4.21	275.49	2.36	271.41		262.77	3.91	274.8	4.15	275.25
-0.28	265.73	2.65	272.01	4.21	275.47	2.34	271.46		262.74	3.91	274.78	4.15	275.35
-0.29	265.74	2.66	272.06	4.19	275.45	2.34	271.41		262.66	3.91	274.77	4.15	275.36
-0.28	265.72	2.63	272.05	4.23	275.48	2.36	271.35		262.77	3.9	274.74	4.15	275.37
-0.27	265.7	2.63	272.04	4.2	275.41	2.34	271.43		262.71	3.91	274.78	4.15	275.34
-0.26	265.68	2.62	272.08	4.21	275.47	2.37	271.4		262.72	3.9	274.77	4.14	275.33
-0.29	265.71	2.65	272.04	4.22	275.45	2.36	271.45		262.7	3.91	274.81	4.17	275.33
-0.27	265.69	2.65	272.03	4.23	275.46	2.33	271.39		262.71	3.91	274.77	4.15	275.36
-0.26	265.7	2.65	271.99	4.22	275.44	2.36	271.41		262.71	3.92	274.8	4.16	275.33
-0.26	265.72	2.63	272.05	4.24	275.51	2.35	271.4		262.69	3.9	274.79	4.15	275.31
-0.26	265.76	2.63	272.05	4.2	275.47	2.37	271.42		262.75		274.76	4.11	275.31
-0.27	265.73	2.65	272.02	4.22	275.45		271.42		262.74		274.77	4.16	275.31
-0.29	265.73	2.65	272.01	4.2	275.43		271.45		262.71		274.76	4.17	275.33
-0.25	265.77	2.6	272.01	4.2	275.44		271.42		262.71		274.79	4.13	275.33
-0.28	265.71	2.65	272.03	4.21	275.43		271.4		262.69		274.79	4.15	275.36
-0.27	265.72	2.65	272.03	4.21	275.49		271.41		262.69		274.77	4.17	275.28
-0.28	265.73	2.64	272.04	4.21	275.45		271.42		262.7		274.75	4.15	
-0.27	265.71	2.61	272.05	4.2	275.42		271.42		262.76		274.83	4.12	
-0.28	265.71	2.64	272.01	4.23	275.47				262.69		274.81	4.15	
-0.29	265.7	2.62	272.05	4.2	275.43				262.75		274.75	4.14	
-0.26	265.7	2.64	272.01	4.18	275.45				262.73		274.75	4.16	
-0.28	265.74	2.63	272.06	4.21	275.46				262.74		274.85	4.13	
-0.28	265.74	2.64	272.07	4.21	275.48				262.76		274.8	4.14	
-0.3	265.73	2.62	272.11	4.22	275.46						274.78	4.13	
-0.28	265.71	2.65	272	4.22	275.46						274.81	4.14	
-0.29	265.67		272.08	4.21	275.49						274.75	4.14	
-0.29	265.71		272.01	4.22	275.41						274.77	4.12	
-0.29	265.77		271.97	4.2	275.47							4.13	
-0.25	265.7		272	4.23	275.47							4.15	
-0.27	265.73		272.03	4.2	275.46							4.14	
-0.28	265.71		272.01	4.21	275.5							4.16	
-0.3	265.75		272.01	4.21	275.49							4.12	
-0.3	265.7		272.04		275.48							4.15	
-0.27	265.68		272.03		275.45							4.15	
-0.28			272.05		275.47							4.13	
-0.31			272.04		275.44							4.18	
-0.27			272.05		275.49							4.14	
-0.3			272.02		275.45								
-0.3			271.97		275.46								
-0.28					275.43								
-0.29					275.47								
-0.27					275.43								
-0.29					275.44								
-0.27					275.42								
-0.3					275.51								
-0.31					275.44								
					275.5								
					275.49								
					275.47								
					275.47								
					275.46								
					275.44								
